id,1,255,role,email,isActive,password,username,createdAt,deletedAt,updatedAt,totpSecret,deluxeToken,lastLoginIp,profileImage
19,1,255,admin,NULL,1,0192023a7bbd73250516f069df18b500 (admin123),<blank>,2022-03-06 21:41:03.619 +00:00,NULL,2022-03-09 20:57:11.228 +00:00,<blank>,<blank>,undefined,assets/public/images/uploads/default.svg
20,1,255,customer,NULL,1,e541ca7ecf72b8d1286474fc613e5e45 (ncc-1701),<blank>,2022-03-06 21:41:03.621 +00:00,NULL,2022-03-06 21:41:03.621 +00:00,<blank>,<blank>,0.0.0.0,assets/public/images/uploads/default.svg
21,1,255,customer,NULL,1,0c36e517e3fa95aabf1bbffc6744a4ef,<blank>,2022-03-06 21:41:03.622 +00:00,NULL,2022-03-06 21:41:03.622 +00:00,<blank>,<blank>,0.0.0.0,assets/public/images/uploads/default.svg
9,1,255,admin,J12934@juice-sh.op,1,6edd9d726cbdc873c539e41ae8757b8c,bkimminich,2022-03-06 21:41:03.623 +00:00,NULL,2022-03-06 21:41:03.623 +00:00,<blank>,<blank>,0.0.0.0,assets/public/images/uploads/default.svg
15,1,255,deluxe,accountant@juice-sh.op,1,861917d5fa5f1172f931dc700d81a8fb,<blank>,2022-03-06 21:41:03.625 +00:00,NULL,2022-03-06 21:41:03.625 +00:00,<blank>,d715c2c75d4a42d3825a050e0a0163c1959b51165373f17bd8eed7b1e05bf20d,0.0.0.0,assets/public/images/uploads/default.svg
1,1,255,admin,admin@juice-sh.op,1,d57386e76107100a7d6c2782978b2e7b,<blank>,2022-03-06 21:41:03.626 +00:00,NULL,2022-03-06 21:41:03.626 +00:00,<blank>,<blank>,0.0.0.0,assets/public/images/uploads/default.svg
11,1,255,customer,amy@juice-sh.op,1,f2f933d0bb0ba057bc8e33b8ebd6d9e8,<blank>,2022-03-06 21:41:03.627 +00:00,NULL,2022-03-06 21:41:03.627 +00:00,<blank>,<blank>,0.0.0.0,assets/public/images/uploads/default.svg
3,1,255,customer,bender@juice-sh.op,1,b03f4b0ba8b458fa0acdc02cdb953bc8,<blank>,2022-03-06 21:41:03.628 +00:00,NULL,2022-03-06 21:41:03.628 +00:00,<blank>,<blank>,0.0.0.0,assets/public/images/uploads/default.svg
4,1,255,admin,bjoern.kimminich@gmail.com,1,3c2abc04e4a6ea8f1327d0aae3714b7d,<blank>,2022-03-06 21:41:03.629 +00:00,NULL,2022-03-06 21:41:03.629 +00:00,<blank>,<blank>,0.0.0.0,assets/public/images/uploads/default.svg
12,1,255,admin,bjoern@juice-sh.op,1,9ad5b0492bbe528583e128d2a8941de4,wurstbrot,2022-03-06 21:41:03.630 +00:00,NULL,2022-03-06 21:41:03.630 +00:00,IFTXE3SPOEYVURT2MRYGI52TKJ4HC3KH,<blank>,0.0.0.0,assets/public/images/uploads/default.svg
13,1,255,customer,bjoern@owasp.org,1,030f05e45e30710c3ad3c32f00de0473,<blank>,2022-03-06 21:41:03.630 +00:00,NULL,2022-03-06 21:41:03.630 +00:00,<blank>,<blank>,0.0.0.0,assets/public/images/uploads/default.svg
14,1,255,admin,chris.pike@juice-sh.op,1,7f311911af16fa8f418dd1a3051d6810,<blank>,2022-03-06 21:41:03.631 +00:00,NULL,2022-03-06 21:41:03.631 +00:00,<blank>,<blank>,0.0.0.0,assets/public/images/uploads/default.svg
5,1,255,deluxe,ciso@juice-sh.op,1,9283f1b2e9669749081963be0462e466,<blank>,2022-03-06 21:41:03.632 +00:00,NULL,2022-03-06 21:41:03.632 +00:00,<blank>,efe2f1599e2d93440d5243a1ffaf5a413b70cf3ac97156bd6fab9b5ddfcbe0e4,0.0.0.0,assets/public/images/uploads/12.jpg
17,1,255,customer,demo,1,10a783b9ed19ea1c67c3a27699f0095b,<blank>,2022-03-06 21:41:03.633 +00:00,2022-03-06 21:41:04.667 +00:00,2022-03-06 21:41:03.633 +00:00,<blank>,<blank>,0.0.0.0,assets/public/images/uploads/default.svg
